Crop,Area_hectares,Temperature_C,Rainfall_mm,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer_kg_ha,Irrigation_percent,Yield_tons_per_hectare
lentil,4.51,27.03,674.7,41.9,19.9,28.8,58.4,26.2,2.16
mothbeans,18.51,26.23,579.8,31.6,21.3,24.7,64.4,33.9,1.56
coconut,7.76,26.57,2173.5,72.9,26.5,58.3,82.7,55.3,5.84
rice,6.87,25.45,984.9,92.5,36.0,20.2,83.6,77.8,4.23
chickpea,10.57,18.68,505.2,41.3,31.0,35.5,89.9,30.1,2.4
grapes,14.47,34.22,661.3,54.2,34.9,52.2,144.9,46.8,8.26
papaya,10.2,26.74,803.6,92.6,49.9,58.5,140.6,82.2,35.11
blackgram,6.8,25.98,866.8,33.8,18.6,26.2,99.1,41.3,1.63
cotton,7.8,27.48,482.2,105.3,45.7,40.1,116.5,37.9,1.82
mothbeans,11.17,27.8,438.5,42.5,18.7,33.1,46.1,30.6,1.01
rice,6.84,24.11,1019.4,96.9,43.0,39.7,166.7,70.1,4.86
watermelon,3.37,26.78,516.0,71.2,26.5,55.5,104.4,67.6,27.51
orange,4.72,26.37,1178.7,44.2,21.6,32.9,75.5,37.4,14.84
blackgram,12.76,27.45,683.1,34.8,28.8,27.0,78.8,34.4,2.05
maize,15.24,20.05,854.7,100.2,44.4,25.9,136.2,47.6,6.44
muskmelon,8.38,25.79,463.3,49.3,28.2,34.7,94.3,30.6,20.04
apple,3.96,15.18,716.9,38.8,41.6,47.1,98.5,30.6,8.24
papaya,10.82,31.25,1399.7,84.6,45.5,76.9,178.2,74.6,28.07
watermelon,14.88,21.07,678.2,70.9,31.2,57.1,90.0,25.7,25.19
maize,2.69,25.78,658.1,98.8,51.3,49.7,131.0,58.6,7.64
chickpea,5.41,17.7,591.4,45.4,45.8,55.1,40.0,41.4,1.41
coffee,3.74,23.12,2237.7,71.2,26.1,43.2,128.6,71.5,1.97
jute,13.66,29.11,1021.9,66.7,37.6,39.9,101.0,80.7,2.84
coffee,7.14,21.7,1276.3,60.3,39.7,60.4,131.7,68.5,2.17
maize,2.67,28.68,444.7,60.1,25.1,39.4,186.4,52.9,5.1
mungbean,5.25,28.75,784.2,49.8,39.1,25.4,72.9,35.3,1.47
mungbean,10.82,32.91,636.0,33.3,37.6,23.4,94.9,22.7,1.61
muskmelon,5.83,30.96,604.6,54.1,42.4,52.6,110.8,68.3,14.47
grapes,8.13,22.96,592.3,57.9,25.1,48.3,111.2,21.6,5.71
lentil,5.38,15.07,647.4,34.0,16.0,36.8,75.6,41.1,1.46
mango,4.81,22.94,1124.7,56.7,29.9,45.7,108.8,66.2,7.35
maize,3.43,22.93,681.9,86.0,37.6,43.3,138.8,44.7,8.07
banana,3.85,30.68,1767.1,103.0,42.7,57.2,247.0,69.4,24.88
muskmelon,19.05,30.92,548.0,110.1,26.8,49.1,109.7,28.3,16.1
chickpea,9.97,18.22,805.1,41.7,45.0,26.0,86.6,29.5,1.9
jute,5.41,24.8,1654.6,87.2,28.3,50.5,96.0,63.0,2.67
watermelon,10.57,26.33,669.3,77.2,25.4,50.8,78.2,33.7,27.51
kidneybeans,14.07,18.62,606.2,57.6,43.1,33.0,112.3,45.2,2.21
chickpea,2.57,19.66,530.6,42.6,42.6,27.7,63.6,38.1,1.85
maize,6.76,25.59,649.7,86.9,44.2,49.0,124.6,74.1,7.22
grapes,3.28,21.75,649.7,41.4,38.9,36.3,96.3,42.9,12.17
watermelon,16.22,30.94,849.3,83.9,36.5,54.0,108.0,47.2,22.99
coconut,3.51,21.86,1523.6,63.8,25.6,42.4,142.6,86.9,7.61
mothbeans,10.36,32.9,555.3,50.4,21.9,19.5,96.3,36.7,1.01
watermelon,8.28,23.05,628.9,55.2,27.4,54.9,140.8,55.8,22.72
coffee,4.34,21.65,1301.9,63.9,38.5,45.7,98.2,85.0,2.45
mungbean,4.83,18.61,455.9,60.2,42.1,31.6,69.3,10.0,0.7
chickpea,3.3,24.3,628.9,48.8,36.6,35.4,116.5,42.5,2.34
chickpea,11.08,25.22,751.7,29.3,41.7,39.4,106.6,34.9,1.71
coconut,3.13,22.38,1249.3,21.8,36.3,54.4,91.5,59.3,7.66
mungbean,5.09,25.41,728.0,40.9,34.4,13.3,101.6,36.0,0.89
blackgram,11.33,25.73,475.4,60.0,34.5,32.8,73.6,47.3,1.74
mango,6.54,25.59,540.3,60.3,37.7,42.4,114.9,60.6,7.4
watermelon,3.72,21.6,633.4,68.3,27.9,51.6,152.3,10.0,19.94
kidneybeans,4.32,22.5,1034.0,67.1,29.4,31.1,122.7,41.4,1.69
muskmelon,2.57,27.34,819.5,44.7,30.2,34.0,61.1,35.2,20.64
jute,3.92,31.77,1271.4,83.5,23.8,34.0,121.6,73.0,2.48
apple,3.78,17.51,934.7,31.9,28.4,29.2,50.4,14.6,10.79
muskmelon,10.09,28.97,652.9,52.6,29.1,23.2,137.7,65.6,16.21
apple,2.1,15.9,936.4,64.7,23.1,28.9,122.8,23.2,10.68
kidneybeans,5.2,19.83,607.0,49.1,40.7,31.0,105.3,29.0,2.0
orange,10.66,28.09,792.3,45.3,35.9,41.3,79.7,38.8,15.87
grapes,10.7,23.11,889.3,55.5,28.5,44.0,72.3,57.2,12.39
jute,3.03,36.0,1374.2,92.5,39.1,18.6,135.7,95.0,2.43
watermelon,17.51,30.8,658.7,53.3,22.9,32.7,98.0,41.0,23.84
cotton,11.4,26.86,1088.2,89.2,49.0,60.0,216.3,51.9,2.38
mango,6.83,23.51,966.3,83.5,19.5,48.7,87.7,49.7,11.28
mango,10.37,26.87,1072.0,50.4,29.5,44.8,128.8,50.1,9.1
mango,6.76,31.03,1207.2,60.0,27.5,70.6,121.6,43.5,7.58
papaya,7.16,28.89,1506.6,108.9,32.8,60.9,103.7,88.3,30.19
pigeonpeas,3.24,27.83,1063.7,38.0,35.0,33.0,70.6,32.5,2.2
coconut,5.9,27.97,1444.5,78.9,32.4,66.0,96.1,62.3,8.27
banana,6.85,30.74,1528.6,68.7,30.1,80.8,224.2,78.3,30.01
kidneybeans,6.99,17.56,558.6,55.6,55.7,35.3,129.3,47.0,1.99
coffee,15.1,22.64,1831.7,67.6,34.6,57.4,103.9,63.4,1.83
papaya,6.94,23.26,878.4,81.9,31.0,56.1,81.6,46.5,33.39
maize,4.6,26.08,702.0,117.9,46.6,36.2,142.7,51.7,8.66
coffee,15.85,21.48,1776.5,44.2,34.5,59.0,108.6,74.0,2.08
mothbeans,11.17,34.1,455.0,24.1,16.8,28.2,92.0,41.5,0.95
watermelon,1.64,24.88,486.6,62.9,34.3,49.4,101.3,46.7,27.63
watermelon,3.45,22.97,585.8,53.3,37.4,49.9,130.4,43.5,28.18
pomegranate,4.44,18.26,914.6,31.2,21.3,47.3,116.6,38.1,12.38
banana,3.86,27.98,1621.8,92.1,22.4,69.7,189.0,86.2,29.05
muskmelon,7.82,23.26,520.7,53.2,38.0,47.4,113.8,42.1,19.04
jute,3.07,27.52,1864.9,65.7,48.6,36.1,131.0,72.0,3.42
kidneybeans,5.2,20.15,841.2,48.8,32.2,34.4,84.9,61.6,2.22
rice,4.16,28.32,776.7,88.2,46.8,43.6,163.9,77.7,5.03
pomegranate,3.33,22.42,516.9,49.8,24.9,38.4,100.2,25.1,11.44
lentil,9.85,20.46,716.6,46.0,25.0,47.7,81.6,24.7,1.11
chickpea,3.75,22.07,327.8,62.7,43.1,31.1,70.5,21.8,1.78
watermelon,12.7,27.02,448.9,66.7,31.4,40.4,94.1,40.9,29.81
maize,14.52,28.16,872.8,102.9,38.0,20.7,102.9,60.1,5.75
chickpea,15.91,20.35,586.8,32.7,37.1,49.7,65.7,21.6,1.86
lentil,4.92,23.32,816.7,37.1,29.8,28.8,69.9,25.4,1.35
papaya,3.96,31.83,939.9,97.2,26.2,84.2,116.1,69.4,25.76
rice,3.99,24.82,1134.6,73.9,55.2,38.1,187.5,76.5,4.33
banana,7.86,31.49,1597.3,63.0,29.7,56.2,211.2,91.1,29.94
kidneybeans,23.67,19.62,608.4,57.3,44.9,33.3,107.4,44.1,2.65
kidneybeans,14.62,16.63,780.0,62.8,37.2,27.8,118.1,40.4,1.63
kidneybeans,6.32,22.38,922.9,42.4,44.2,41.7,79.1,48.0,1.67
pigeonpeas,2.25,29.97,891.4,35.1,41.2,17.1,75.7,62.8,1.26
cotton,7.55,25.08,629.1,94.1,46.1,51.3,166.8,77.9,1.91
maize,8.4,28.39,980.7,59.3,52.7,38.2,108.2,45.0,6.06
blackgram,23.81,24.04,809.0,64.6,27.3,38.5,73.3,30.9,1.29
pigeonpeas,3.8,26.01,782.6,42.9,35.4,32.9,91.6,44.1,1.96
lentil,2.69,20.57,598.9,44.5,37.5,38.6,89.1,15.3,1.62
chickpea,11.37,27.18,736.7,27.4,43.6,37.8,101.4,60.7,1.82
mothbeans,9.21,30.25,255.1,23.1,24.2,33.3,72.7,20.3,0.99
muskmelon,13.14,20.69,453.8,52.3,35.9,42.6,83.4,43.5,18.69
pigeonpeas,1.78,28.75,608.3,73.1,32.5,44.2,83.3,41.8,1.6
grapes,29.81,24.5,473.1,57.0,25.6,52.5,157.4,26.1,8.99
pomegranate,18.31,21.44,486.9,45.0,33.8,43.6,92.5,40.1,8.71
kidneybeans,11.67,26.25,747.7,57.4,41.5,31.9,80.7,37.2,1.93
cotton,11.71,23.79,948.6,93.0,37.1,34.3,176.1,67.1,2.23
blackgram,12.53,23.63,617.3,38.2,29.3,42.5,45.5,42.6,1.33
coffee,16.29,15.85,1511.5,45.2,42.3,41.5,125.8,71.8,2.39
mungbean,2.96,26.36,828.0,53.2,16.7,48.8,52.6,33.8,1.18
jute,8.25,32.76,1343.7,79.1,39.0,34.0,101.8,61.8,2.62
blackgram,3.43,29.29,733.5,46.7,26.4,38.8,74.3,42.1,1.89
maize,4.53,24.45,690.2,103.1,61.7,49.0,184.7,61.8,5.59
mothbeans,19.06,30.28,703.2,39.1,23.6,16.7,69.7,30.9,1.04
blackgram,3.9,24.4,721.9,25.2,33.1,22.5,60.1,26.5,1.46
chickpea,6.15,24.66,565.1,38.9,36.0,24.0,108.5,37.9,2.27
grapes,4.76,24.59,578.9,52.5,28.8,34.6,93.0,47.4,10.51
lentil,8.6,13.98,592.7,31.8,42.4,27.1,82.1,35.7,1.3
blackgram,4.98,26.24,730.3,48.9,22.1,37.0,93.1,23.0,1.33
muskmelon,7.65,25.73,644.8,60.8,39.9,40.1,126.0,46.8,21.86
cotton,14.28,25.9,944.5,113.2,33.4,45.8,117.5,62.5,1.95
watermelon,2.48,23.77,557.7,63.6,23.7,24.1,154.2,51.9,22.74
grapes,11.62,30.94,570.8,48.0,16.3,33.7,151.2,49.1,10.35
pomegranate,12.05,22.05,713.4,61.0,34.4,49.7,93.7,41.6,14.97
jute,2.53,30.4,1540.1,100.0,26.7,51.8,127.0,56.9,2.63
jute,3.81,26.48,1575.8,69.2,36.0,47.1,91.6,64.1,3.24
chickpea,4.21,25.28,481.6,49.6,35.1,39.7,74.1,42.6,2.71
pomegranate,5.44,20.1,613.2,66.6,31.4,56.6,67.0,27.8,10.47
watermelon,3.96,34.06,511.6,71.5,27.2,44.3,72.8,49.9,21.03
apple,9.76,19.5,901.0,45.2,29.4,27.7,100.1,36.7,12.61
coconut,5.05,24.27,1545.4,53.6,24.2,67.3,89.7,62.9,8.45
mungbean,6.44,29.87,812.3,34.9,26.7,34.8,86.5,15.6,1.15
pomegranate,15.06,25.29,551.1,69.5,14.9,39.5,55.9,36.9,11.27
coconut,4.11,29.73,1275.3,72.6,27.6,66.5,113.6,61.7,8.88
mungbean,22.04,31.78,701.4,34.1,30.2,25.8,104.1,24.5,1.47
blackgram,7.73,25.82,656.2,32.7,32.1,40.4,72.2,21.3,1.59
mango,18.0,24.17,784.9,60.3,35.2,30.7,129.6,60.5,6.9
lentil,8.48,22.46,626.0,22.2,43.2,27.3,65.7,14.7,1.68
apple,2.74,14.85,697.8,54.0,45.3,27.4,111.6,47.3,10.0
pigeonpeas,4.9,32.12,1074.3,57.0,34.2,24.4,88.5,29.3,1.59
coconut,7.64,26.45,1432.4,80.5,36.2,52.3,92.0,71.5,7.05
cotton,18.17,28.17,999.6,77.2,43.3,46.9,110.2,52.3,2.63
muskmelon,8.14,29.72,593.2,60.9,42.5,32.0,75.9,29.3,16.94
orange,9.13,26.37,1209.9,37.4,18.9,46.9,117.1,35.4,15.32
mothbeans,10.52,29.74,340.2,30.6,13.8,50.6,83.0,31.7,1.19
cotton,30.0,29.69,904.6,68.7,45.9,50.5,140.8,76.5,2.59
blackgram,16.92,28.3,903.5,53.2,29.0,33.4,54.0,31.2,1.63
lentil,9.32,19.88,537.8,30.4,27.0,32.7,40.0,37.7,1.54
maize,10.4,26.67,441.4,98.1,48.8,42.4,160.9,46.5,5.54
cotton,7.39,26.82,851.8,80.9,39.8,37.5,139.1,73.1,2.37
mango,3.16,26.59,600.1,56.6,32.9,62.4,93.1,46.0,8.35
muskmelon,5.4,24.67,457.0,73.3,31.7,45.2,80.3,40.5,19.82
chickpea,6.86,24.96,775.4,55.5,43.3,32.2,105.0,27.8,2.45
mango,3.16,21.32,932.1,64.6,30.9,31.5,132.1,71.0,9.23
mungbean,6.74,27.02,662.6,43.2,47.9,23.0,84.7,28.2,1.41
grapes,29.24,24.73,724.6,42.8,25.2,32.4,111.4,31.1,7.68
rice,3.88,26.64,1678.1,80.0,40.1,38.0,140.3,72.3,3.58
kidneybeans,19.23,21.51,548.8,61.0,32.5,39.2,93.0,37.8,2.44
muskmelon,16.61,28.32,684.8,50.4,18.3,48.5,91.5,55.3,14.8
apple,3.81,16.94,905.9,52.3,30.7,26.4,85.2,51.4,12.9
kidneybeans,0.94,26.32,591.3,36.5,40.0,33.7,75.0,33.8,1.87
kidneybeans,8.4,19.38,521.2,55.6,35.8,32.8,86.9,33.3,1.94
cotton,12.33,29.6,958.6,89.3,22.1,41.0,117.6,59.4,2.62
mothbeans,3.83,27.64,456.3,28.2,19.4,25.6,73.2,21.9,1.06
mothbeans,4.06,29.21,588.6,26.2,21.2,12.9,79.7,10.0,1.34
apple,1.98,20.45,890.2,49.4,35.0,36.6,97.3,25.8,15.16
apple,3.12,16.37,936.3,66.7,30.3,47.7,84.8,10.0,11.95
pigeonpeas,11.88,28.68,830.4,48.9,44.5,40.8,71.4,76.1,2.21
jute,9.21,28.38,1646.3,81.7,34.0,33.7,149.0,63.4,2.68
kidneybeans,15.48,24.81,718.8,63.9,39.5,40.1,92.8,27.4,1.98
pomegranate,7.0,26.43,609.7,32.2,22.0,36.0,93.6,25.1,13.2
mungbean,20.97,31.25,445.8,47.1,43.1,26.6,68.7,54.4,1.35
pigeonpeas,10.15,22.16,964.8,64.1,25.5,56.8,82.8,38.4,1.52
watermelon,12.3,31.09,458.5,28.5,29.3,54.0,97.1,52.3,22.4
mothbeans,13.06,22.73,563.2,18.8,29.6,28.7,40.0,13.2,1.14
blackgram,8.19,28.08,732.7,42.5,32.1,33.4,111.6,27.8,1.96
coconut,2.87,25.94,983.4,40.4,31.0,51.8,156.2,51.9,5.94
mango,10.64,23.48,1855.4,37.6,31.4,60.6,107.8,61.8,8.23
blackgram,5.05,28.14,661.8,48.2,38.1,35.4,67.8,18.6,1.26
kidneybeans,9.46,20.09,584.7,68.2,42.0,43.7,80.5,49.5,2.02
muskmelon,8.53,29.48,660.2,85.8,19.4,53.0,80.3,27.6,17.34
apple,7.78,19.09,857.4,53.1,32.7,37.1,60.3,28.2,11.24
rice,1.05,29.4,1306.5,97.0,51.5,34.8,189.9,57.3,3.96
blackgram,11.4,27.74,593.7,45.1,22.3,17.2,76.6,25.3,1.7
kidneybeans,12.13,19.19,497.5,56.1,33.9,34.3,86.9,45.3,1.65
banana,3.41,21.03,1310.6,58.7,40.2,100.9,144.0,70.7,31.44
pomegranate,15.61,15.45,956.1,50.2,35.4,31.5,93.7,48.8,8.82
blackgram,9.72,26.94,715.0,37.7,29.7,10.2,73.3,29.0,1.63
mothbeans,14.07,30.8,426.7,28.3,25.6,14.6,40.0,28.0,0.81
blackgram,9.98,29.62,748.7,35.2,23.1,29.0,89.9,14.4,1.99
jute,17.81,28.56,1217.8,77.5,21.8,44.7,165.5,65.6,2.39
banana,5.08,19.3,918.7,98.2,38.3,69.9,208.9,28.9,29.53
chickpea,4.95,22.73,724.7,41.7,39.9,29.1,103.7,22.3,2.04
rice,4.34,25.98,766.1,54.8,45.8,45.5,179.1,56.1,4.04
mungbean,7.03,29.15,625.0,46.8,19.1,46.9,94.0,41.0,1.43
muskmelon,7.29,24.55,626.5,48.4,29.5,47.1,109.8,36.4,21.56
pomegranate,11.6,22.17,752.6,58.7,28.9,35.6,58.7,41.9,14.77
banana,3.21,21.32,931.9,95.2,36.0,83.4,215.5,81.1,26.92
kidneybeans,3.12,19.22,647.4,55.0,39.2,38.7,95.9,46.6,2.73
coconut,2.36,28.95,1641.2,49.0,23.9,58.5,109.5,70.0,7.81
kidneybeans,10.56,25.74,495.3,56.4,38.5,36.3,67.8,35.5,1.82
apple,7.05,17.96,692.6,10.0,32.0,40.5,74.8,16.8,11.86
grapes,15.33,21.87,561.2,55.6,26.8,41.0,98.8,33.2,10.0
mothbeans,5.87,29.43,417.6,29.3,33.3,21.4,78.3,25.0,1.05
watermelon,11.51,21.28,848.8,69.2,34.6,43.2,120.0,40.3,25.1
kidneybeans,23.12,19.16,651.1,48.9,40.6,31.2,85.8,52.2,2.01
mungbean,4.1,28.04,454.8,50.3,36.1,22.5,68.5,29.7,1.54
rice,13.65,29.81,1325.4,72.2,18.6,44.8,160.9,72.9,4.48
grapes,4.06,22.34,639.1,62.6,27.4,56.4,118.1,40.9,12.4
mothbeans,3.93,24.06,561.2,32.8,17.4,37.7,117.7,20.1,1.19
chickpea,6.31,23.37,556.1,45.5,34.4,24.3,53.1,26.1,2.03
papaya,4.3,25.38,833.2,79.9,32.3,67.5,180.9,63.5,29.34
muskmelon,8.23,23.3,416.4,26.8,15.5,45.2,90.3,53.5,16.17
blackgram,2.42,30.2,688.7,54.2,23.7,27.2,84.1,51.8,1.3
coconut,2.55,25.92,1275.3,47.3,33.9,58.1,156.7,85.4,10.33
coffee,11.79,15.41,1268.8,82.2,30.2,59.2,135.2,69.4,1.66
lentil,18.47,19.11,456.1,48.0,35.5,28.3,72.3,32.5,1.85
kidneybeans,3.99,22.35,536.5,73.9,38.7,16.2,71.4,19.4,2.29
orange,4.93,18.9,1011.3,56.3,21.4,49.3,125.1,38.7,11.66
pomegranate,6.72,23.72,381.2,64.7,27.1,55.2,99.9,47.1,12.67
chickpea,3.98,27.17,750.8,56.9,26.4,48.4,124.4,33.2,2.02
maize,24.29,26.75,494.0,100.7,47.9,25.3,133.4,49.9,6.77
orange,5.47,27.1,1027.8,49.8,10.0,56.3,90.2,50.7,12.91
rice,5.08,25.67,1180.9,80.8,39.7,44.6,152.0,63.2,4.24
blackgram,4.14,18.36,779.0,39.5,19.0,28.2,53.2,35.1,1.54
coconut,2.58,36.0,1173.8,66.1,32.1,45.4,131.7,78.2,7.47
pigeonpeas,8.18,27.25,1003.4,68.7,46.0,42.9,128.3,42.1,1.82
grapes,10.21,27.27,771.9,48.3,40.1,42.0,99.1,44.0,12.47
blackgram,10.46,30.4,858.5,42.8,33.7,32.1,85.5,35.6,1.18
watermelon,4.21,27.27,628.8,43.5,34.3,55.2,115.8,55.4,23.79
pomegranate,21.0,26.81,894.2,58.3,30.2,33.1,115.3,55.3,12.85
orange,13.02,21.78,1019.1,67.0,28.2,44.0,85.7,29.0,13.92
orange,9.22,21.97,439.9,53.6,47.5,56.7,96.4,32.7,14.69
papaya,7.22,28.05,1411.8,72.0,29.5,53.5,149.9,66.3,40.24
papaya,7.36,28.35,1492.9,83.2,35.4,71.5,131.7,66.6,33.92
apple,16.89,17.12,867.4,33.0,23.1,35.6,95.3,45.4,12.79
lentil,21.14,22.92,635.1,33.6,28.9,45.5,52.3,10.0,1.96
pigeonpeas,7.02,29.9,697.8,49.8,35.9,49.4,76.8,61.1,2.14
mungbean,8.09,27.72,467.6,27.7,10.0,33.0,55.6,30.3,1.52
grapes,7.24,22.52,391.5,37.9,28.8,12.6,127.4,50.4,11.54
rice,2.09,28.01,1130.1,89.1,35.2,46.9,97.0,80.2,5.31
rice,10.35,33.81,1010.0,72.3,49.1,43.7,138.5,69.5,3.69
coffee,10.28,19.68,1736.3,39.6,37.8,56.6,105.3,62.6,2.23
orange,11.38,17.22,717.6,47.3,34.1,48.1,121.1,57.7,12.65
blackgram,13.4,23.16,919.7,40.1,31.9,30.3,74.2,30.6,1.43
papaya,14.43,25.81,1047.3,84.6,45.8,55.9,130.0,52.6,39.59
chickpea,6.45,31.93,595.8,38.8,40.8,35.6,81.8,31.9,1.82
watermelon,6.5,28.98,471.4,58.4,24.5,36.0,88.8,41.0,24.42
papaya,7.58,25.28,1228.8,60.2,45.6,70.4,149.2,66.8,42.05
mungbean,3.42,24.77,416.7,48.1,28.8,34.0,40.6,43.5,1.61
apple,2.19,18.79,985.7,49.4,31.0,43.6,94.0,48.6,10.15
pomegranate,8.03,26.39,518.8,54.0,30.5,61.6,139.6,27.4,14.42
maize,10.45,21.38,577.5,112.2,50.0,38.6,182.5,41.9,7.68
mango,2.13,29.37,810.1,53.4,35.0,44.5,133.2,86.9,9.5
chickpea,4.1,19.6,634.4,50.3,38.4,49.2,82.9,19.3,2.38
maize,4.08,29.03,722.3,71.6,48.6,42.8,175.6,43.7,7.84
grapes,13.91,17.79,598.0,32.1,31.1,39.4,100.3,13.3,10.37
pigeonpeas,22.93,28.34,1015.4,41.8,35.0,37.7,63.9,36.0,1.83
coffee,20.45,22.78,996.0,71.0,32.4,31.7,93.1,67.7,2.2
apple,9.25,21.5,750.7,50.7,22.3,31.5,101.8,15.1,9.66
banana,2.71,28.91,1336.2,80.0,34.3,65.5,130.7,73.7,36.1
kidneybeans,7.12,22.74,666.3,49.9,41.0,30.6,88.5,22.0,2.4
watermelon,10.62,20.37,611.6,55.8,37.2,47.4,143.7,23.3,23.17
muskmelon,13.08,21.62,535.6,32.1,27.3,32.4,78.1,37.0,14.12
rice,25.7,24.36,1321.2,97.1,43.4,32.8,135.3,86.9,5.34
orange,8.38,19.26,943.2,49.6,42.3,60.4,67.8,54.7,11.89
apple,14.18,13.67,845.8,41.3,39.2,54.9,68.0,17.8,13.04
banana,8.45,25.88,992.9,75.9,38.8,62.5,185.0,85.7,38.4
coffee,8.3,28.3,1812.2,73.1,46.4,37.2,144.3,80.9,1.35
pomegranate,5.23,25.68,665.1,52.3,48.2,28.2,86.1,47.7,12.28
mango,6.32,24.92,1076.6,73.3,40.6,37.1,95.3,40.5,10.68
pigeonpeas,8.8,23.8,1087.7,43.0,13.8,34.5,87.6,37.5,2.29
chickpea,7.7,22.25,567.6,43.6,41.6,40.3,113.5,52.7,2.53
coffee,11.52,17.24,1667.9,56.3,45.1,27.1,94.3,66.0,1.84
mothbeans,10.57,30.22,579.4,41.2,23.8,31.8,68.5,37.9,1.52
orange,9.39,20.25,840.0,56.9,30.9,43.0,141.3,35.2,13.87
mango,4.1,27.79,1247.0,59.2,31.3,39.6,115.8,56.4,7.67
kidneybeans,17.76,17.7,506.1,42.6,31.8,35.2,86.8,44.3,1.72
lentil,7.24,21.4,402.3,52.3,29.7,33.8,67.0,58.9,1.5
cotton,12.04,23.06,808.5,74.7,27.6,40.3,144.8,48.7,2.37
papaya,2.94,28.31,1290.7,74.8,45.1,84.4,87.2,71.4,45.6
kidneybeans,5.35,19.71,649.6,69.0,28.8,31.9,83.8,50.0,1.67
mothbeans,12.6,25.96,324.1,47.8,10.0,34.2,40.0,37.4,1.33
banana,3.29,29.66,1856.1,88.4,43.4,78.7,198.2,76.3,31.81
apple,4.8,25.04,1066.4,50.5,32.1,27.1,107.7,43.5,10.99
chickpea,8.23,27.8,854.8,45.8,35.3,33.5,59.0,32.4,2.32
orange,5.11,21.52,1199.0,40.2,35.0,37.5,105.7,24.1,14.22
muskmelon,3.58,27.17,587.4,60.1,29.1,37.1,65.6,24.8,19.61
maize,11.93,26.07,531.4,90.2,58.3,44.4,122.1,43.2,7.69
apple,3.42,20.76,929.2,49.6,26.0,41.5,103.2,42.4,12.8
coffee,5.33,22.43,2121.9,74.7,43.9,32.6,116.7,77.4,2.66
muskmelon,12.75,24.18,411.0,68.6,20.7,42.1,94.3,10.0,15.83
maize,4.1,27.14,869.3,71.2,44.6,66.2,101.6,37.0,6.85
grapes,1.9,22.04,642.9,39.5,31.5,45.0,107.6,38.2,11.47
rice,3.2,29.79,874.8,116.0,46.6,39.3,216.9,67.3,4.48
coffee,5.52,26.64,1025.9,54.3,44.0,43.6,122.6,48.9,1.62
coffee,7.13,18.01,1959.9,77.5,21.3,36.4,131.5,67.2,2.41
watermelon,16.09,29.7,813.2,42.7,36.8,37.0,130.1,61.9,20.28
watermelon,7.09,28.24,640.2,58.8,27.9,32.3,111.1,24.1,18.24
coffee,5.79,23.23,1623.2,59.8,36.7,34.6,101.8,79.1,2.13
lentil,10.88,17.04,595.7,40.8,32.0,31.7,68.6,23.0,1.69
mungbean,16.34,29.86,959.3,42.3,22.7,31.7,41.4,46.4,1.31
coffee,2.18,24.85,1500.5,41.9,23.9,44.8,82.5,95.0,2.23
papaya,21.61,25.48,1573.9,70.1,30.6,57.5,217.4,58.8,31.91
muskmelon,2.46,28.25,616.1,27.2,28.7,46.0,103.2,43.9,23.97
maize,4.41,31.65,823.0,56.7,41.3,29.3,150.6,60.1,5.9
rice,29.38,30.21,965.0,95.8,35.8,49.9,185.7,83.1,4.32
watermelon,3.97,26.64,591.1,59.6,25.0,36.1,131.3,34.9,25.42
pigeonpeas,3.73,28.08,1123.0,63.3,50.9,26.3,51.1,48.6,1.71
jute,6.71,35.61,1539.0,64.3,34.0,37.0,103.6,56.0,3.31
muskmelon,5.67,26.31,368.0,46.2,36.7,34.0,95.0,17.9,15.29
watermelon,9.14,25.21,405.0,50.6,27.9,53.1,100.2,49.5,23.15
maize,6.23,23.99,396.4,104.5,33.3,51.6,111.9,53.9,7.36
mango,2.17,29.85,966.7,44.4,34.0,39.7,86.6,57.0,7.69
coffee,4.19,22.12,2147.3,69.4,44.8,57.1,109.6,75.3,1.95
mango,13.4,27.18,767.2,43.7,26.0,38.5,91.0,52.9,7.5
coffee,9.27,23.37,1601.9,75.1,33.3,39.4,121.1,72.7,2.91
lentil,3.3,19.94,547.0,50.7,35.6,31.5,92.4,45.7,1.35
apple,4.88,12.21,1017.2,45.9,33.0,41.1,74.6,35.4,9.03
watermelon,28.93,22.72,688.6,55.9,39.6,57.4,112.2,43.2,29.97
mothbeans,6.9,31.24,513.2,44.5,27.3,29.7,74.3,25.8,1.29
rice,3.31,28.43,1105.4,96.7,47.0,36.4,172.5,86.5,2.73
apple,21.16,19.41,759.9,33.0,24.3,49.6,90.1,43.6,12.71
coconut,8.46,26.2,944.3,51.9,35.9,64.3,133.2,75.9,8.02
watermelon,12.79,29.71,786.7,56.2,27.5,34.6,125.9,56.7,22.08
apple,11.52,20.23,1061.7,54.4,37.7,42.7,46.6,35.1,11.61
papaya,10.68,30.94,616.5,73.4,43.3,48.1,132.8,78.7,45.03
coconut,3.58,27.91,1624.5,56.0,28.2,38.7,134.6,79.8,6.68
kidneybeans,7.01,22.9,782.2,68.9,36.9,50.8,91.3,44.2,1.99
rice,5.73,21.61,920.2,98.0,39.8,42.2,122.7,54.1,4.97
pigeonpeas,8.55,23.85,646.2,70.7,27.4,34.6,40.0,82.2,2.03
coconut,2.38,31.36,1456.9,38.5,35.1,61.3,138.0,50.7,8.42
blackgram,8.74,29.06,876.8,38.9,25.2,35.8,75.3,30.9,2.23
